final_corruption_rate,final_mean_integrity,total_extractions,integrity_mean,base_detection_prob,n_enforcers,oversight_structure,integrity_decay,corruption_contagion,seed
1.0,0.09223227434545614,16333,5.0,0.1,100,hierarchical,True,True,5
1.0,0.002126291523447684,16503,5.0,0.1,100,hierarchical,True,True,6
1.0,0.1283976505149355,16372,5.0,0.1,100,hierarchical,True,True,7
1.0,0.07212603259825748,16004,5.0,0.1,100,hierarchical,True,True,8
1.0,0.0015522981158427119,16790,5.0,0.1,100,hierarchical,True,True,9
1.0,0.025193895478061498,14114,5.0,0.2,100,hierarchical,True,True,0
1.0,0.12730242861876567,13815,5.0,0.2,100,hierarchical,True,True,1
1.0,0.12287307826539946,14377,5.0,0.2,100,hierarchical,True,True,2
1.0,0.06814807149466318,14431,5.0,0.2,100,hierarchical,True,True,3
1.0,0.044029572421266955,14426,5.0,0.2,100,hierarchical,True,True,4
1.0,0.02827825634471703,14109,5.0,0.2,100,hierarchical,True,True,5
1.0,0.01852196555291587,14244,5.0,0.2,100,hierarchical,True,True,6
1.0,0.05253732993971453,14170,5.0,0.2,100,hierarchical,True,True,7
1.0,0.07358235801665874,14112,5.0,0.2,100,hierarchical,True,True,8
1.0,0.08177114103773285,14118,5.0,0.2,100,hierarchical,True,True,9
1.0,0.1800791039106945,11141,5.0,0.3,100,hierarchical,True,True,0
1.0,0.4108781853881669,11031,5.0,0.3,100,hierarchical,True,True,1
1.0,0.2163793187314612,11712,5.0,0.3,100,hierarchical,True,True,2
1.0,0.24244682189767275,11894,5.0,0.3,100,hierarchical,True,True,3
1.0,0.13016450030731555,11603,5.0,0.3,100,hierarchical,True,True,4
1.0,0.2028877156278754,11267,5.0,0.3,100,hierarchical,True,True,5
1.0,0.21520667219936865,11201,5.0,0.3,100,hierarchical,True,True,6
1.0,0.22381837335323307,11322,5.0,0.3,100,hierarchical,True,True,7
1.0,0.13341042211603038,11365,5.0,0.3,100,hierarchical,True,True,8
1.0,0.2533190286597481,11324,5.0,0.3,100,hierarchical,True,True,9
1.0,0.3737482180775648,8737,5.0,0.4,100,hierarchical,True,True,0
1.0,0.3548360040627361,9106,5.0,0.4,100,hierarchical,True,True,1
1.0,0.3334397409819003,9217,5.0,0.4,100,hierarchical,True,True,2
1.0,0.340784801399892,9487,5.0,0.4,100,hierarchical,True,True,3
1.0,0.4781518666171374,8696,5.0,0.4,100,hierarchical,True,True,4
1.0,0.38840561631255127,8713,5.0,0.4,100,hierarchical,True,True,5
1.0,0.3432321280209273,8947,5.0,0.4,100,hierarchical,True,True,6
1.0,0.42096799164177917,9140,5.0,0.4,100,hierarchical,True,True,7
1.0,0.4180087277640473,8789,5.0,0.4,100,hierarchical,True,True,8
1.0,0.4239190805674244,8898,5.0,0.4,100,hierarchical,True,True,9
1.0,0.5254063344832316,6963,5.0,0.5,100,hierarchical,True,True,0
1.0,0.5918781902166291,7173,5.0,0.5,100,hierarchical,True,True,1
1.0,0.5888419401826157,7188,5.0,0.5,100,hierarchical,True,True,2
1.0,0.4776606136095792,7460,5.0,0.5,100,hierarchical,True,True,3
1.0,0.6980353325429415,6720,5.0,0.5,100,hierarchical,True,True,4
1.0,0.5874845523111581,6979,5.0,0.5,100,hierarchical,True,True,5
1.0,0.5837690946068527,6839,5.0,0.5,100,hierarchical,True,True,6
1.0,0.5250040929824736,7406,5.0,0.5,100,hierarchical,True,True,7
1.0,0.5414714537970582,7042,5.0,0.5,100,hierarchical,True,True,8
1.0,0.5233417210854356,7157,5.0,0.5,100,hierarchical,True,True,9
1.0,0.529304889413977,5788,5.0,0.6,100,hierarchical,True,True,0
1.0,0.4549492827602194,5791,5.0,0.6,100,hierarchical,True,True,1
1.0,0.48047004681621436,6096,5.0,0.6,100,hierarchical,True,True,2
1.0,0.49143703116443355,6273,5.0,0.6,100,hierarchical,True,True,3
1.0,0.5521744981751197,5819,5.0,0.6,100,hierarchical,True,True,4
1.0,0.5785934812348799,5747,5.0,0.6,100,hierarchical,True,True,5
1.0,0.47558226152064154,5964,5.0,0.6,100,hierarchical,True,True,6
1.0,0.36157766114811307,6283,5.0,0.6,100,hierarchical,True,True,7
1.0,0.4993437947589585,5775,5.0,0.6,100,hierarchical,True,True,8
1.0,0.5112355717635862,5627,5.0,0.6,100,hierarchical,True,True,9
0.99,0.4728086363283113,4696,5.0,0.7,100,hierarchical,True,True,0
0.98,0.46381331260275244,5040,5.0,0.7,100,hierarchical,True,True,1
1.0,0.45482139322493026,5191,5.0,0.7,100,hierarchical,True,True,2
0.98,0.34917318979361944,5250,5.0,0.7,100,hierarchical,True,True,3
0.96,0.4302759319720903,4866,5.0,0.7,100,hierarchical,True,True,4
0.97,0.4875648646100698,4739,5.0,0.7,100,hierarchical,True,True,5
0.96,0.4372879087990879,4833,5.0,0.7,100,hierarchical,True,True,6
0.98,0.37147996555391904,5213,5.0,0.7,100,hierarchical,True,True,7
0.99,0.4544864482689849,4929,5.0,0.7,100,hierarchical,True,True,8
0.97,0.4775925522323139,4830,5.0,0.7,100,hierarchical,True,True,9
1.0,0.0028485657802103286,15731,6.0,0.1,100,hierarchical,True,True,0
1.0,0.007812301490091125,15784,6.0,0.1,100,hierarchical,True,True,1
1.0,0.06777732726742436,15562,6.0,0.1,100,hierarchical,True,True,2
1.0,0.002042705313259999,16291,6.0,0.1,100,hierarchical,True,True,3
1.0,0.17002202630078803,15300,6.0,0.1,100,hierarchical,True,True,4
1.0,0.004131670412296249,15634,6.0,0.1,100,hierarchical,True,True,5
1.0,0.13021498643856666,14734,6.0,0.1,100,hierarchical,True,True,6
1.0,0.06546988578497348,15635,6.0,0.1,100,hierarchical,True,True,7
1.0,0.06098835949978791,15419,6.0,0.1,100,hierarchical,True,True,8
1.0,0.036102661050490994,15447,6.0,0.1,100,hierarchical,True,True,9
1.0,0.09443483736874135,12691,6.0,0.2,100,hierarchical,True,True,0
1.0,0.030585157716634902,13128,6.0,0.2,100,hierarchical,True,True,1
1.0,0.090409113775369,13170,6.0,0.2,100,hierarchical,True,True,2
1.0,0.13880201133721576,13432,6.0,0.2,100,hierarchical,True,True,3
1.0,0.07352751139412675,13319,6.0,0.2,100,hierarchical,True,True,4
1.0,0.1444626732376681,12986,6.0,0.2,100,hierarchical,True,True,5
1.0,0.14107961891161755,12716,6.0,0.2,100,hierarchical,True,True,6
1.0,0.201384685083844,13026,6.0,0.2,100,hierarchical,True,True,7
1.0,0.13698844659832077,13018,6.0,0.2,100,hierarchical,True,True,8
1.0,0.16904781038645122,12844,6.0,0.2,100,hierarchical,True,True,9
1.0,0.25432512254550355,9870,6.0,0.3,100,hierarchical,True,True,0
1.0,0.4529380771445793,9708,6.0,0.3,100,hierarchical,True,True,1
1.0,0.2531102071164053,10719,6.0,0.3,100,hierarchical,True,True,2
1.0,0.28750888887702386,10629,6.0,0.3,100,hierarchical,True,True,3
1.0,0.38998872963568654,9716,6.0,0.3,100,hierarchical,True,True,4
1.0,0.22712576843974597,10452,6.0,0.3,100,hierarchical,True,True,5
1.0,0.19204368114442447,10486,6.0,0.3,100,hierarchical,True,True,6
1.0,0.30362360669987654,10552,6.0,0.3,100,hierarchical,True,True,7
1.0,0.3658074595378257,10123,6.0,0.3,100,hierarchical,True,True,8
1.0,0.23356272760827704,10400,6.0,0.3,100,hierarchical,True,True,9
1.0,0.48493587788865505,7700,6.0,0.4,100,hierarchical,True,True,0
1.0,0.5677396595661328,7799,6.0,0.4,100,hierarchical,True,True,1
1.0,0.4790033300997505,8444,6.0,0.4,100,hierarchical,True,True,2
